run_id,scenario,condition,model,replicate,date,wall_minutes,corrective_turns,tool_calls,build_failures_self_fixed,runtime_crashes_self_fixed,server_validation_incidents,output_tokens,cache_read_tokens,cost_usd_api_rates,kotlin_loc_added,verified_working,round_trip_pass
s1-cold-fable-01,s1-build,cold,claude-fable-5,1,2026-08-23,29,0,45,2,0,0,90089,4459546,13.0,657,true,true
s1-ohs-fable-01,s1-build,ohs,claude-fable-5,1,2026-08-24,33,0,122,1,1,1,250660,37340021,61.0,946,true,true
s1-cold-haiku-01,s1-build,cold,claude-haiku-4-5-20251001,1,2026-08-26,9.1,0,78,14,,0,55954,8317780,1.27,859,,
s1-ohs-haiku-01,s1-build,ohs,claude-haiku-4-5-20251001,1,2026-08-26,15.7,0,57,6,,0,51354,5713877,0.98,1098,false,false
s1-ohs-skills-haiku-01,s1-build,ohs-skills,claude-haiku-4-5-20251001,1,2026-08-26,12.0,0,80,10,,0,95670,11991396,1.92,1049,false,false
s1-cold-sonnet-01,s1-build,cold,claude-sonnet-5,1,2026-08-26,8.5,0,62,0,,0,58874,7070815,2.51,641,,
s1-ohs-sonnet-01,s1-build,ohs,claude-sonnet-5,1,2026-08-26,36.8,0,192,3,,1,253981,73412120,18.96,880,,
s1-ohs-skills-sonnet-01,s1-build,ohs-skills,claude-sonnet-5,1,2026-08-26,57.8,1,236,4,,3,324916,102976958,25.97,845,,
s1-ohs-skills-fable-01,s1-build,ohs-skills,claude-fable-5,1,2026-08-26,9.6,0,45,1,,0,128378,4932178,14.31,749,,
s1-cold-fable-02,s1-build,cold,claude-fable-5,2,2026-08-26,9.0,0,42,2,,0,87048,3753490,10.22,804,,
s1-cold-opus-01,s1-build,cold,claude-opus-5,1,2026-08-26,13.5,0,59,1,,0,114332,7910173,8.2,1616,,
s1-ohs-opus-01,s1-build,ohs,claude-opus-5,1,2026-08-26,42.8,0,151,2,,3,162162,42197576,28.26,1132,,
s1-ohs-skills-opus-01,s1-build,ohs-skills,claude-opus-5,1,2026-08-26,13.8,0,82,1,,1,106201,13310214,11.39,1235,,
